127.0.0.1 - - [08/Apr/2022:12:08:53 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:09:43 +0900] "GET /PengManGo/Concept_color.jsp HTTP/1.1" 200 3585
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:09:43 +0900] "GET /PengManGo/img/character.png HTTP/1.1" 200 143308
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:09:43 +0900] "GET /PengManGo/img/background.jpg HTTP/1.1" 200 211813
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:09:43 +0900] "GET /PengManGo/img/draw.jpg HTTP/1.1" 200 180298
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:09:43 +0900] "GET /PengManGo/js/Concept_color.js HTTP/1.1" 200 10016
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:09:43 +0900] "GET /PengManGo/css/Concept_game.css HTTP/1.1" 200 1465
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:09:43 +0900] "GET /PengManGo/music/moring.mp3 HTTP/1.1" 206 6567352
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:09:43 +0900] "GET /PengManGo/img/underline.png HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:09:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:09:45 +0900] "GET /PengManGo/index.jsp HTTP/1.1" 200 561
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:09:45 +0900] "GET /PengManGo/img/logo.png HTTP/1.1" 200 441496
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:09:45 +0900] "GET /PengManGo/css/index.css HTTP/1.1" 200 635
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:09:45 +0900] "GET /PengManGo/img/btn_start.png HTTP/1.1" 200 24148
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:09:45 +0900] "GET /PengManGo/img/btn_help.png HTTP/1.1" 200 23985
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:09:46 +0900] "GET /PengManGo/html/Concept.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:09:46 +0900] "GET /PengManGo/img/idol_choose.jpg HTTP/1.1" 200 68109
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:09:46 +0900] "GET /PengManGo/img/choose_text.png HTTP/1.1" 200 410513
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:09:46 +0900] "GET /PengManGo/img/job_choose.png.jpg HTTP/1.1" 200 65905
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:09:46 +0900] "GET /PengManGo/img/hobby_choose.jpg HTTP/1.1" 200 73019
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:09:46 +0900] "GET /PengManGo/img/beauty_choose.png.jpg HTTP/1.1" 200 74281
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:09:46 +0900] "GET /PengManGo/css/Concept.css HTTP/1.1" 200 735
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:09:46 +0900] "GET /PengManGo/img/color_choose.jpg HTTP/1.1" 200 77946
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:09:46 +0900] "GET /PengManGo/img/coding_choose.jpg HTTP/1.1" 200 60111
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:09:46 +0900] "GET /PengManGo/img/food_choose.jpg HTTP/1.1" 200 54690
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:09:46 +0900] "GET /PengManGo/img/animal_choose.jpg HTTP/1.1" 200 65162
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:09:53 +0900] "GET /PengManGo/index.html HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:09:56 +0900] "GET /PengManGo/index.html HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:09:59 +0900] "GET /PengManGo/Concept_hobby.jsp HTTP/1.1" 200 3683
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:09:59 +0900] "GET /PengManGo/img/hobby.png HTTP/1.1" 200 119699
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:10:03 +0900] "GET /PengManGo/html/GameInfo.html HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:10:03 +0900] "GET /PengManGo/img/info.png HTTP/1.1" 200 386446
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:10:03 +0900] "GET /PengManGo/css/GameInfo.css HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:10:16 +0900] "GET /PengManGo/Concept_idol.jsp HTTP/1.1" 200 3783
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:10:16 +0900] "GET /PengManGo/img/Idol.png HTTP/1.1" 200 142373
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:10:16 +0900] "GET /PengManGo/js/Concept_idol.js HTTP/1.1" 200 10090
